Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
GA891,Geography and Outdoor Education,244,244,391,8
GA980,Education (Design Graphics and Construction),377,377,411,8
GA984,"Furniture Design, Making and Technology - Common Entry",284,284,369,8
GC200,Business Studies,252,252,369,8
GC201,Accounting and Finance,303,303,388,8
GC230,Computing Science,335,325,393,8
GC250,Communications and Media Production,,,,8
GC300,Business Studies,429,390,432,8
GC301,Accounting & Finance,253,253,346,8
GC302,Business Studies - HRM,,,,8
GC305,International Hospitality Management,253,253,253,8
GC400,Business Studies,248,248,281,8
GC401,Accounting and Finance,240,202,343,8
GC402,Business Studies (HRM),264,218,236,8
GC403,Law,244,228,328,8
GC407,Business Studies (Marketing),280,218,321,8
GC430,Computing Science,252,220,298,8
GC450,Communications and Media Production,254,254,280,8
GC462,Design Communication (portfolio),,,,8
GC489,Interior Architecture (portfolio),254,254,301,8
GC494,Fashion Design (portfolio),337,217,412,8
GY101,Arts (Joint-Honours),300,300,391,8
GY104,Arts (Psychology),523,519,542,8
GY105,Arts (History),301,301,377,8
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,409,456,8
GY109,Arts (Mathematics and Education),403,403,466,8
GY110,Arts with Children`s Studies,357,357,418,8
GY111,Arts with Creative Writing,330,330,492,8
GY112,Arts with Film Studies,321,321,399,8
GY113,Arts with Human Rights,368,368,422,8
GY115,Arts with Performing Arts Studies,387,387,443,8
GY118,"Arts (Drama, Theatre and Performance Studies)",451,451,492,8
GY119,Arts (Journalism),400,400,465,8
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,350,397,8
GY121,Arts (Children`s Studies),356,356,419,8
GY122,Na Dána (Cumarsáid agus Gaeilge),361,361,453,8
GY123,Applied Social Sciences,358,358,410,8
GY124,Arts (Arts with Data Science),454,454,490,8
GY125,Arts (Digital Arts and Technology),328,328,347,8
GY126,Arts (English and Media Studies),391,391,462,8
GY127,Arts (Film and Digital Media),401,401,462,8
GY128,Arts (Global Languages),352,352,476,8
GY129,Arts (International),420,420,462,8
GY130,Arts (Music),408,408,495,8
GY131,Arts (History and Globalisation Studies),360,360,440,8
GY132,"Government (Politics, Economics and Law)",407,407,435,8
GY133,Education (Computer Science and Mathematical Studies),422,422,498,8
GY134,Geography and Geosystems,410,410,445,8
GY201,Commerce,433,433,466,8
GY202,Commerce (International) with French,484,484,511,8
GY203,Commerce (International) with German,489,489,566,8
GY204,Commerce (International) with Spanish,495,495,511,8
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,465,488,8
GY207,Commerce (Accounting) including optional Global Experience year,509,509,543,8
GY208,Commerce (Gaeilge),473,473,511,8
GY209,Commerce (Global Experience),530,530,554,8
GY250,Law and Business,487,487,510,8
GY251,Law (BCL),499,499,518,8
GY252,Law (BCL) and Human Rights,520,520,541,8
GY253,Law and Taxation,509,509,543,8
GY254,"Law (BCL), Criminology and Criminal Justice",530,530,554,8
GY261,"Business Studies (International Hotel Management, interview)",497,497,611,8
GY262,"Commerce (International Hotel Management, interview)",681,681,724,8
GY301,Science,433,432,487,8
GY303,Biomedical Science,556,556,589,8
GY304,Biotechnology,465,465,498,8
GY308,Environmental Science,408,408,484,8
GY309,Financial Mathematics and Economics,487,487,532,8
GY310,Marine Science,419,419,476,8
GY313,Environmental Health and Safety,412,412,440,8
GY314,Earth and Ocean Sciences,403,403,444,8
GY318,Biopharmaceutical Chemistry,509,509,542,8
GY319,Mathematical Science,476,476,566,8
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,402,478,8
GY321,Genetics and Genomics,508,508,532,8
GY350,Computer Science and Information Technology,403,403,454,8
GY401,Engineering (Undenominated),465,465,511,8
GY402,Civil Engineering,455,455,499,8
GY405,Mechanical Engineering,454,454,509,8
