,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
1378,TU966,Languages and English Studies,366,434,466
1379,TU967,Languages and International Tourism,308,326,388
1380,TU971,Contemporary Visual Culture,290,290,320
1381,TU972,Creative and Cultural Industries,281,281,369
1382,TU973,Design - Visual Communication,717,717,865
1383,TU974,Fine Art,709,563,826
1384,TU975,Interior Design,632,632,879
1385,TU976,Photography,695,695,926
1386,TU981,Creative Digital Media,280,282,318
1387,TU982,Creative Digital Media,320,311,352
1388,TU983,Film and Broadcasting,456,451,484
1389,TU984,Game Design,381,381,419
1390,TU985,Journalism,322,322,377
1391,TU986,Print Media Technology and Management,289,289,300
1392,TU991,Applied Social Studies in Social Care,325,325,352
1393,TU992,Community and Youth Development,251,253,297
1394,TU993,Early Childhood Care and Education,270,270,311
1395,TU994,Early Childhood Care and Education,321,230,304
1396,TU995,Early Childhood Education,367,367,409
1397,TU996,Social Care,400,400,419
1398,TU997,Applied Social Care,310,270,318
1399,WD001,Applied Computing (options),260,260,413
1400,WD002,Science (options),308,308,388
1401,WD003,Business,AQA,AQA,372
1402,WD005,Health Sciences (options),280,280,338
1403,WD006,Exercise Sciences (options),280,280,359
1404,WD007,Engineering (options),288,288,409
1405,WD010,Electronic Engineering,181,181,318
1406,WD011,Mechanical Engineering,198,198,341
1407,WD013,Legal Studies,177,177,367
1408,WD018,Applied Social Care,171,171,293
1409,WD019,Recreation and Sport Management,174,174,309
1410,WD025,Construction Management and Engineering,269,269,341
1411,WD027,Music,262,262,409
1412,WD048,Business (options),271,271,371
1413,WD076,Forestry,243,243,326
1414,WD084,Accounting,308,308,411
1415,WD091,Hospitality Management,228,228,310
1416,WD094,Architectural Technology,166,150,351
1417,WD096,Horticulture (Waterford - Kildalton),260,260,389
1418,WD097,Horticulture (Dublin - National Botanic Gardens),AQA,AQA,408
1419,WD116,General Nursing,422,422,451
1420,WD117,Psychiatric Nursing,366,366,388
1421,WD120,Intellectual Disability Nursing,377,377,388
1422,WD126,Agriculture,327,327,430
1423,WD134,International Business,290,290,362
1424,WD137,Design (Visual Communications),271,271,351
1425,WD139,Civil Engineering,206,206,379
1426,WD140,Laws,280,280,367
1427,WD144,Architecture,284,284,359
1428,WD147,Pharmaceutical Science,293,293,390
1429,WD149,Early Childhood Studies,271,271,368
1430,WD150,Criminal Justice Studies,270,270,331
1431,WD151,Software Systems Development,AQA,AQA,356
1432,WD152,Visual Art,AQA,AQA,317
1433,WD153,Multimedia Applications Development,163,163,353
1434,WD155,Information Technology,211,211,338
1435,WD159,Business,195,195,388
1436,WD161,Computer Forensics and Security,255,255,380
1437,WD162,Quantity Surveying,216,216,306
1438,WD163,Psychology,434,434,473
1439,WD164,Food Science with Business,309,309,440
1440,WD172,Culinary Arts,AQA,AQA,301
1441,WD173,Hospitality Studies,AQA,AQA,310
1442,WD174,Tourism,AQA,AQA,226
1443,WD175,Pharmaceutical Science,226,226,392
1444,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",222,222,473
1445,WD182,Electrical Engineering,AQA,AQA,302
1446,WD184,Retail Management,163,163,346
1447,WD186,Sports Coaching and Performance,270,270,344
1448,WD187,Social Science,272,272,348
1449,WD188,Applied Health Care,201,201,349
1450,WD191,Agricultural Science,377,377,420
1451,WD192,Social Care Practice,270,270,326
1452,WD193,Marketing and Digital Media,271,271,347
1453,WD194,Culinary Arts,217,217,321
1454,WD195,Architectural and Building Information Modelling Technology,279,279,367
1455,WD200,Arts (options),AQA,AQA,336
1456,WD205,Molecular Biology with Biopharmaceutical Science,228,228,446
1457,WD206,Electronic Engineering,179,179,373
1458,WD207,Mechanical Engineering,198,198,365
1459,WD208,Manufacturing Engineering,188,188,339
1460,WD210,Software Systems Development,279,279,337
1461,WD211,Creative Computing,271,271,318
1462,WD212,Recreation and Sport Management,270,270,349
1463,WD230,Mechanical and Manufacturing Engineering,253,253,369
