,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
507,DN660,Commerce International (options),517,510,531
508,DN670,Economics and Finance,613,613,625
509,DN700,Social Sciences (options),421,418,466
510,DN710,Economics,498,498,510
511,DN720,Psychology,530,522,543
512,DN750,Social Policy and Sociology,378,377,408
513,DS602,Computing and Multimedia (Level 6 - Higher Certificate),,198,367
514,DS603,Computing and Multimedia (Level 6 - Certificate),,423,523
515,DS701,Business,,299,299
516,DS702,Computing and Multimedia (Level 7),,290,413
517,GA160,Business,163,163,278
518,GA170,Business,250,250,420
519,GA171,Business Information Systems,250,250,367
520,GA172,Rural Enterprise and Agri-Business,277,277,382
521,GA174,Marketing and Sales,281,282,377
522,GA175,Finance,278,278,467
523,GA176,Business with Entrepreneurship,278,278,411
524,GA181,Accounting,309,309,403
525,GA182,Business,287,287,347
526,GA183,Business Information Systems,296,296,356
527,GA184,Marketing and Sales,307,307,357
528,GA185,Finance and Economics,293,293,392
529,GA186,Business with Entrepreneurship,280,280,356
530,GA187,Rural Enterprise and Agri-Business,281,281,352
531,GA272,Heritage Studies,188,188,363
532,GA273,Contemporary Art,702,702,892
533,GA274,Design,251,251,378
534,GA281,Film and Documentary,304,304,379
535,GA282,Heritage Studies,220,220,281
536,GA283,Contemporary Art,679,679,870
537,GA284,Design,303,303,356
538,GA285,"Education (Art, Design and Graphics)",,,
539,GA360,Business in Tourism,172,172,260
540,GA361,Culinary Arts,193,193,375
541,GA362,Hotel and Hospitality Operations,240,228,330
542,GA364,Heritage Studies,252,252,369
543,GA370,Hotel and Catering Management,198,198,362
544,GA376,Event Management with Public Relations,206,187,348
545,GA377,International Tourism Management,172,172,360
546,GA378,Culinary and Gastronomic Science,219,219,432
547,GA380,International Hotel Management,242,242,330
548,GA381,International Tourism Management,278,278,350
549,GA382,Culinary and Gastronomic Science,206,206,337
550,GA384,Event Management with Public Relations,212,212,328
551,GA470,Construction Management,244,243,349
552,GA471,Quantity Surveying and Construction Economics,200,200,347
553,GA472,Architectural Technology,226,226,367
554,GA473,Civil Engineering,241,241,432
555,GA480,Construction Management,260,260,336
556,GA482,Quantity Surveying and Construction Economics,288,288,350
557,GA483,Architectural Technology,265,265,337
558,GA484,Civil Engineering,290,290,383
559,GA570,Software and Electronic Engineering,224,224,399
560,GA580,Software and Electronic Engineering,300,300,393
561,GA670,Mechanical Engineering,265,265,413
562,GA673,Energy Engineering,260,260,452
563,GA674,Biomedical Engineering,298,298,455
564,GA675,Agricultural Engineering,298,298,386
565,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,290,465
566,GA677,Manufacturing Engineering Design,235,235,379
567,GA680,Mechanical Engineering,330,330,401
568,GA681,Energy Engineering,293,293,366
569,GA682,Biomedical Engineering,313,313,393
570,GA683,Agricultural Engineering,309,309,385
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,340,405
572,GA685,Manufacturing Engineering Design,309,309,379
573,GA770,Applied Freshwater and Marine Biology,280,280,388
574,GA771,Applied Biology and Biopharmaceutical Science,280,280,465
575,GA772,Chemical and Pharmaceutical Science,280,280,487
576,GA773,Physics and Instrumentation,299,299,521
577,GA774,Science (Undenominated),289,289,490
578,GA775,Computing in Software Development,260,260,356
579,GA776,Computing and Digital Media,241,241,381
580,GA777,Agriculture and Environmental Management,281,281,393
581,GA780,Applied Freshwater and Marine Biology,327,327,377
582,GA781,Applied Biology and Biopharmaceutical Science,337,337,390
583,GA782,Chemical and Pharmaceutical Science,336,336,388
584,GA783,Physics and Instrumentation,363,363,408
585,GA784,Science (Undenominated),372,372,403
586,GA785,Medical Science,473,473,500
587,GA786,Forensic Science and Analysis,317,317,387
588,GA787,Computing in Software Development,270,270,315
589,GA788,Computing and Digital Media,274,282,356
590,GA789,Agriculture and Environmental Management,287,289,371
591,GA790,Sport and Exercise Science,356,356,409
592,GA791,Public Health Nutrition,368,368,409
593,GA862,History & Geography,178,178,382
594,GA864,Early Childhood Education and Care,214,204,357
595,GA870,Outdoor Education and Leisure,182,171,399
596,GA871,Early Childhood Education and Care,190,190,367
597,GA872,Culture and Environment,196,196,328
598,GA879,Applied Social Care,244,244,337
599,GA880,General Nursing,429,422,441
600,GA882,Psychiatric Nursing,367,367,377
601,GA885,Outdoor Education,252,252,262
602,GA887,History and Geography,244,244,380
603,GA889,Applied Social Care,266,266,298
604,GA890,Early Childhood Education and Care,270,270,327
605,GA891,Geography and Outdoor Education,244,244,391
606,GA974,"Furniture Design, Making and Technology - Common Entry",214,214,388
607,GA980,Education (Design Graphics and Construction),377,377,411
608,GA984,"Furniture Design, Making and Technology - Common Entry",284,284,369
609,GB001,Business,,115,415
610,GC200,Business Studies,252,252,369
611,GC201,Accounting and Finance,303,303,388
612,GC230,Computing Science,335,325,393
613,GC250,Communications and Media Production,,,
614,GC300,Business Studies,429,390,432
615,GC301,Accounting & Finance,253,253,346
616,GC302,Business Studies - HRM,,,
617,GC305,International Hospitality Management,253,253,253
618,GC306,International Hospitality Management,253,253,253
619,GC335,Computing,217,195,235
620,GC400,Business Studies,248,248,281
621,GC401,Accounting and Finance,240,202,343
622,GC402,Business Studies (HRM),264,218,236
623,GC403,Law,244,228,328
624,GC407,Business Studies (Marketing),280,218,321
625,GC410,Marketing,145,145,371
626,GC411,Business,135,135,370
627,GC430,Computing Science,252,220,298
628,GC435,Computing,AQA,96,279
629,GC450,Communications and Media Production,254,254,280
630,GC460,Music Production for Games (portfolio),,,
631,GC462,Design Communication (portfolio),,,
632,GC465,Communications,AQA,AQA,349
633,GC466,Film and TV Production,AQA,AQA,339
634,GC470,Photographic Media,169,169,279
635,GC475,Photography,150,150,348
636,GC489,Interior Architecture (portfolio),254,254,301
637,GC490,Interior Design,117,117,360
638,GC494,Fashion Design (portfolio),337,217,412
639,GC495,Fashion,129,129,349
