,Course Code,Course,EOS_2018
256,DC231,International Relations,387
257,DC232,Law and Society (BCL),453
258,DC235,Education and Training - Daytime Delivery Mode (full-time),307
259,DC238,Social Sciences and Cultural Innovation,358
260,DC240,Marketing, Innovation and Technology
261,DC291,Arts (Joint Honours) - Media Studies,349
262,DC292,Arts (Joint Honours) - Law,356
263,DC293,Arts (Joint Honours) - International Languages,369
264,DC295,Arts (Joint Honours) - Politics,348
265,DT001,Product Design,433
266,DT028,Transport Operations and Technology,279
267,DT035,Electrical Services and Energy Management,293
268,DT066,Engineering (General Entry),400
269,DT101,Architecture (test and interview),618
270,DT106,Planning and Environmental Management,312
271,DT110,Property Economics (Valuation Surveying),367
272,DT111,Quantity Surveying and Construction Economics,391
273,DT112,Geographic Science,287
274,DT117,Construction Management,356
275,DT175,Architectural Technology,388
276,DT201,Science (General Entry),464
277,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341
278,DT204,Biomedical Science,501
279,DT205,Mathematical Sciences,315
280,DT206,Biomedical and Molecular Diagnostics,473
281,DT211,Computer Science (Infrastructure),381
282,DT220,Industrial Mathematics,300
283,DT221,Physics with Energy and Environment,348
284,DT222,Physics Technology,321
285,DT223,Human Nutrition and Dietetics,553
286,DT224,Optometry,487
287,DT225,Public Health Nutrition,440
288,DT227,Science with Nanotechnology,312
289,DT228,Computer Science,451
290,DT229,Clinical Measurement Science,491
291,DT235,Physics with Medical Physics and Bioengineering,357
292,DT282,Computer Science (International),377
293,DT299,Chemical Sciences with Medicinal Chemistry,420
294,DT302,Business Analytics,325
295,DT304,E-Commerce in Retailing,341
296,DT321,Business and Law,462
297,DT341,Marketing,400
298,DT343,Retail and Services Management,301
299,DT354,Business Computing,322
300,DT358,Logistics and Supply Chain Management,300
301,DT365,Business and Management,440
302,DT366,Accounting and Finance,432
303,DT398,Human Resource Management,375
304,DT399,Economics and Finance,437
305,DT401,International Hospitality Management,300
306,DT405,Culinary Science,308
307,DT407,Culinary Arts,271
308,DT412,Tourism Marketing,284
309,DT413,Event Management,356
310,DT416,Culinary Entrepreneurship,275
311,DT420,Nutraceuticals in Health and Nutrition,392
312,DT421,Food Innovation,321
313,DT422,Pharmaceutical Healthcare,397
314,DT491,Environmental Health,343
315,DT501,Music,383
316,DT504,Film and Broadcasting,443
317,DT506,Commercial Modern Music,468
318,DT508,Game Design,403
319,DT517,Languages and English Studies,326
320,DT518,Languages and International Tourism,307
321,DT529,Drama (Performance),371
322,DT532,Law (LL.B.),422
323,DT533,Contemporary Visual Culture,
324,DT544,Interior Design,552
325,DT545,Design - Visual Communication,667
